Chromatogram and Results								
								
Injection Details								
Injection Name:		D-St8			Run Time (min):	70.00		
Vial Number:		BA4			Injection Volume:	10.00		
Injection Type:		Unknown			Channel:	ED_1		
Calibration Level:					Wavelength:	n.a.		
Instrument Method:		Starches_Martens et al. 2018			Bandwidth:	n.a.		
Processing Method:		Processing			Dilution Factor:	1.0000		
Injection Date/Time:		30-jan-20 01:45			Sample Weight:	1.0000		
								
Chromatogram								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
Integration Results								
No. 	Peak Name	Retention Time	Area 	Height 	Relative Area 	Relative Height 	Amount 	
		min	nC*min	nC	%	%	n.a.	
ED_1	ED_1	ED_1	ED_1	ED_1	ED_1	ED_1	ED_1	
1  		0.133	0.002	0.011	0.00	0.00	n.a.	
2  		0.383	0.871	0.453	0.43	0.03	n.a.	
3  		1.267	0.078	1.402	0.04	0.10	n.a.	
4  		1.333	0.367	4.689	0.18	0.34	n.a.	
5  		1.517	0.494	3.116	0.25	0.22	n.a.	
6  		1.717	0.257	1.908	0.13	0.14	n.a.	
7  		1.883	0.541	3.751	0.27	0.27	n.a.	
8  		2.050	0.185	1.743	0.09	0.13	n.a.	
9  		2.167	0.127	1.705	0.06	0.12	n.a.	
10  		2.325	84.778	966.627	42.11	69.36	n.a.	
11  		2.675	0.283	2.737	0.14	0.20	n.a.	
12  		2.758	0.380	2.447	0.19	0.18	n.a.	
13  		2.992	0.956	6.518	0.47	0.47	n.a.	
14  		3.283	0.544	2.434	0.27	0.17	n.a.	
15  		3.517	1.622	1.789	0.81	0.13	n.a.	
16  		4.483	0.296	1.555	0.15	0.11	n.a.	
17  		4.867	1.179	3.929	0.59	0.28	n.a.	
18  		5.325	1.076	2.195	0.53	0.16	n.a.	
19  		5.925	1.309	1.709	0.65	0.12	n.a.	
20  		6.775	1.888	1.812	0.94	0.13	n.a.	
21  		8.233	37.089	161.292	18.42	11.57	n.a.	
22  		8.633	0.992	1.445	0.49	0.10	n.a.	
23  		9.867	1.120	1.224	0.56	0.09	n.a.	
24  		10.667	0.475	1.001	0.24	0.07	n.a.	
25  		11.050	0.293	0.976	0.15	0.07	n.a.	
26  		11.617	2.432	8.554	1.21	0.61	n.a.	
27  		12.025	1.415	3.153	0.70	0.23	n.a.	
28  		12.575	0.429	1.236	0.21	0.09	n.a.	
29  		13.058	0.462	1.113	0.23	0.08	n.a.	
30  		13.958	0.584	0.897	0.29	0.06	n.a.	
31  		14.492	28.575	101.580	14.19	7.29	n.a.	
32  		15.508	0.525	0.739	0.26	0.05	n.a.	
33  		16.083	0.302	0.714	0.15	0.05	n.a.	
34  		16.433	0.216	0.584	0.11	0.04	n.a.	
35  		17.142	2.415	6.861	1.20	0.49	n.a.	
36  		17.833	0.340	1.085	0.17	0.08	n.a.	
37  		18.142	0.586	0.909	0.29	0.07	n.a.	
38  		19.492	24.499	84.083	12.17	6.03	n.a.	
39  		19.950	0.222	0.948	0.11	0.07	n.a.	
40  		20.400	0.251	0.661	0.12	0.05	n.a.	
41  		20.783	0.120	0.268	0.06	0.02	n.a.	
42  		21.558	0.227	0.424	0.11	0.03	n.a.	
43  		22.200	0.124	0.192	0.06	0.01	n.a.	
44  		23.283	0.124	0.233	0.06	0.02	n.a.	
45  		24.000	0.039	0.093	0.02	0.01	n.a.	
46  		24.850	0.030	0.115	0.01	0.01	n.a.	
47  		25.825	0.006	0.026	0.00	0.00	n.a.	
48  		26.342	0.031	0.134	0.02	0.01	n.a.	
49  		27.692	0.012	0.043	0.01	0.00	n.a.	
50  		28.200	0.010	0.028	0.01	0.00	n.a.	
51  		33.158	0.040	0.081	0.02	0.01	n.a.	
52  		33.425	0.027	0.077	0.01	0.01	n.a.	
53  		34.067	0.037	0.146	0.02	0.01	n.a.	
54  		36.750	0.041	0.083	0.02	0.01	n.a.	
55  		39.800	0.012	0.033	0.01	0.00	n.a.	
56  		40.842	0.007	0.029	0.00	0.00	n.a.	
Total:			201.344 	1393.591 	100.00 	100.00 		
