Chromatogram and Results								
								
Injection Details								
Injection Name:		D-St6			Run Time (min):	70.00		
Vial Number:		BA2			Injection Volume:	10.00		
Injection Type:		Unknown			Channel:	ED_1		
Calibration Level:					Wavelength:	n.a.		
Instrument Method:		Starches_Martens et al. 2018			Bandwidth:	n.a.		
Processing Method:		Processing			Dilution Factor:	1.0000		
Injection Date/Time:		28-jan-20 20:11			Sample Weight:	1.0000		
								
Chromatogram								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
Integration Results								
No. 	Peak Name	Retention Time	Area 	Height 	Relative Area 	Relative Height 	Amount 	
		min	nC*min	nC	%	%	n.a.	
ED_1	ED_1	ED_1	ED_1	ED_1	ED_1	ED_1	ED_1	
1  		0.167	0.002	0.010	0.00	0.00	n.a.	
2  		0.700	0.893	0.837	0.29	0.04	n.a.	
3  		1.242	0.082	1.470	0.03	0.07	n.a.	
4  		1.333	0.315	4.368	0.10	0.22	n.a.	
5  		1.517	0.407	3.002	0.13	0.15	n.a.	
6  		1.717	0.181	1.464	0.06	0.07	n.a.	
7  		1.883	0.531	5.954	0.17	0.30	n.a.	
8  		2.050	0.024	0.347	0.01	0.02	n.a.	
9  		2.317	143.574	1447.179	47.02	72.51	n.a.	
10  		2.667	0.241	2.010	0.08	0.10	n.a.	
11  		2.775	0.110	1.119	0.04	0.06	n.a.	
12  		2.983	1.043	11.687	0.34	0.59	n.a.	
13  		3.275	0.231	1.813	0.08	0.09	n.a.	
14  		3.508	0.049	0.309	0.02	0.02	n.a.	
15  		3.850	0.008	0.043	0.00	0.00	n.a.	
16  		4.508	0.005	0.037	0.00	0.00	n.a.	
17  		4.858	1.041	6.035	0.34	0.30	n.a.	
18  		5.325	0.570	1.863	0.19	0.09	n.a.	
19  		5.908	0.191	0.747	0.06	0.04	n.a.	
20  		6.117	0.344	0.762	0.11	0.04	n.a.	
21  		6.750	0.857	1.126	0.28	0.06	n.a.	
22  		8.225	60.483	226.919	19.81	11.37	n.a.	
23  		8.642	0.163	0.887	0.05	0.04	n.a.	
24  		8.975	0.069	0.158	0.02	0.01	n.a.	
25  		9.567	0.001	0.012	0.00	0.00	n.a.	
26  		9.883	0.173	0.500	0.06	0.03	n.a.	
27  		10.725	0.034	0.110	0.01	0.01	n.a.	
28  		11.067	0.022	0.124	0.01	0.01	n.a.	
29  		11.625	4.750	18.944	1.56	0.95	n.a.	
30  		12.025	1.926	5.800	0.63	0.29	n.a.	
31  		12.575	0.262	1.137	0.09	0.06	n.a.	
32  		12.817	0.270	1.084	0.09	0.05	n.a.	
33  		13.092	0.386	1.083	0.13	0.05	n.a.	
34  		13.500	0.146	0.595	0.05	0.03	n.a.	
35  		13.925	0.261	0.647	0.09	0.03	n.a.	
36  		14.467	41.386	121.085	13.55	6.07	n.a.	
37  		15.525	0.203	0.417	0.07	0.02	n.a.	
38  		16.075	0.120	0.426	0.04	0.02	n.a.	
39  		16.425	0.043	0.143	0.01	0.01	n.a.	
40  		17.133	4.945	15.797	1.62	0.79	n.a.	
41  		17.833	0.516	1.652	0.17	0.08	n.a.	
42  		18.158	0.669	1.275	0.22	0.06	n.a.	
43  		19.025	0.246	0.899	0.08	0.05	n.a.	
44  		19.458	35.930	98.089	11.77	4.91	n.a.	
45  		19.950	0.371	1.753	0.12	0.09	n.a.	
46  		20.400	0.307	1.064	0.10	0.05	n.a.	
47  		20.725	0.035	0.105	0.01	0.01	n.a.	
48  		21.558	0.213	0.604	0.07	0.03	n.a.	
49  		22.225	0.048	0.131	0.02	0.01	n.a.	
50  		23.267	0.107	0.393	0.03	0.02	n.a.	
51  		23.617	0.033	0.129	0.01	0.01	n.a.	
52  		23.992	0.046	0.136	0.02	0.01	n.a.	
53  		24.842	0.085	0.301	0.03	0.02	n.a.	
54  		25.292	0.036	0.093	0.01	0.00	n.a.	
55  		25.833	0.025	0.094	0.01	0.00	n.a.	
56  		26.350	0.096	0.341	0.03	0.02	n.a.	
57  		26.733	0.008	0.023	0.00	0.00	n.a.	
58  		27.717	0.022	0.083	0.01	0.00	n.a.	
59  		28.258	0.021	0.059	0.01	0.00	n.a.	
60  		28.975	0.008	0.033	0.00	0.00	n.a.	
61  		29.408	0.011	0.035	0.00	0.00	n.a.	
62  		30.142	0.009	0.037	0.00	0.00	n.a.	
63  		30.742	0.006	0.026	0.00	0.00	n.a.	
64  		36.708	0.107	0.210	0.04	0.01	n.a.	
65  		39.850	0.044	0.100	0.01	0.01	n.a.	
66  		48.983	0.018	0.035	0.01	0.00	n.a.	
Total:			305.360 	1995.752 	100.00 	100.00 		
