Volume	water	STD1	STD 3	Sample
2.450		-3558.56	-3522.0	-3552.13
2.467		-3557.41	-3522.6	-3550.54
2.483		-3554.7	-3523.84	-3550.42
2.500	-7.99205	-3553.97	-3524.77	-3550.6
2.517	-7.43011	-3552.86	-3525.01	-3551.71
2.533	-8.57951	-3551.07	-3524.88	-3551.51
2.550	-7.9651	-3551.13	-3524.21	-3552.22
2.567	-6.06367	-3550.96	-3523.81	-3551.86
2.583	-4.60271	-3549.0	-3525.18	-3551.67
2.600	-5.07558	-3549.28	-3525.36	-3552.58
2.617	-4.61065	-3547.4	-3524.21	-3551.78
2.633	-4.8419	-3545.58	-3524.39	-3550.0
2.650	-4.5048	-3544.51	-3523.71	-3550.38
2.667	-4.19104	-3545.45	-3523.05	-3550.76
2.683	-3.39197	-3545.04	-3522.98	-3550.38
2.700	-2.62846	-3545.75	-3522.41	-3550.04
2.717	-2.42779	-3544.24	-3521.96	-3550.19
2.733	-3.92369	-3543.48	-3521.83	-3549.56
2.750	-3.44997	-3544.19	-3521.84	-3550.32
2.767	-2.46471	-3545.49	-3521.3	-3551.23
2.783	-1.73627	-3545.11	-3520.98	-3549.94
2.800	-1.06036	-3544.96	-3521.17	-3548.57
2.817	-0.73368	-3545.06	-3520.92	-3547.17
2.833	-1.68687	-3545.9	-3520.17	-3546.54
2.850	-1.69371	-3546.73	-3519.09	-3544.4
2.867	-0.886816	-3546.07	-3517.77	-3543.73
2.883	-1.12433	-3546.12	-3517.29	-3543.63
2.900	-1.0487	-3547.03	-3517.23	-3543.98
2.917	-0.942679	-3548.42	-3516.61	-3544.21
2.933	-1.59181	-3549.42	-3516.19	-3542.52
2.950	-1.44405	-3548.41	-3515.3	-3542.04
2.967	0.0791649	-3547.31	-3514.84	-3541.44
2.983	0.931109	-3546.55	-3514.38	-3541.23
3.000	0.232657	-3548.34	-3513.7	-3540.37
3.017	-0.245583	-3546.78	-3513.54	-3540.8
3.033	-0.142408	-3547.32	-3512.77	-3540.26
3.050	0.620117	-3548.6	-3512.22	-3539.03
3.067	0.558094	-3547.56	-3512.63	-3540.27
3.083	0.188667	-3547.45	-3511.87	-3538.61
3.100	0.747225	-3547.2	-3511.35	-3538.36
3.117	1.38763	-3545.38	-3512.4	-3537.2
3.133	2.24746	-3545.2	-3512.97	-3536.85
3.150	1.50697	-3546.46	-3513.27	-3537.58
3.167	1.87743	-3546.17	-3514.09	-3538.17
3.183	2.79697	-3544.25	-3515.62	-3539.0
3.200	3.6698	-3543.01	-3516.9	-3538.14
3.217	3.2177	-3542.59	-3516.39	-3536.99
3.233	2.99416	-3541.21	-3515.39	-3536.55
3.250	4.34557	-3541.74	-3514.52	-3537.16
3.267	5.20851	-3540.29	-3513.7	-3536.17
3.283	5.6694	-3540.64	-3513.97	-3534.88
3.300	6.70025	-3539.8	-3514.53	-3534.5
3.317	8.07758	-3539.69	-3514.48	-3534.38
3.333	8.94889	-3539.62	-3514.46	-3533.91
3.350	9.88797	-3539.58	-3515.1	-3534.53
3.367	9.79888	-3538.37	-3515.45	-3534.07
3.383	9.98963	-3537.75	-3516.03	-3534.06
3.400	10.5779	-3538.63	-3516.45	-3533.99
3.417	10.8232	-3537.5	-3515.68	-3532.57
3.433	11.9967	-3536.92	-3515.03	-3532.8
3.450	13.1055	-3537.18	-3515.2	-3531.34
3.467	13.3027	-3538.12	-3515.62	-3530.44
3.483	13.8374	-3538.31	-3515.47	-3529.31
3.500	14.0061	-3538.2	-3514.97	-3529.79
3.517	13.9769	-3536.66	-3514.0	-3529.02
3.533	14.6513	-3535.55	-3512.8	-3529.93
3.550	14.3436	-3535.18	-3512.5	-3529.45
3.567	13.6154	-3536.84	-3512.35	-3528.26
3.583	13.5096	-3536.21	-3512.23	-3527.03
3.600	14.1103	-3535.55	-3512.46	-3526.6
3.617	13.1569	-3535.85	-3512.64	-3526.62
3.633	11.9725	-3535.55	-3513.25	-3528.0
3.650	12.3713	-3537.44	-3513.89	-3528.1
3.667	13.4195	-3536.61	-3514.2	-3527.57
3.683	13.9391	-3536.63	-3513.74	-3528.33
3.700	13.902	-3537.59	-3512.99	-3528.2
3.717	14.2598	-3537.06	-3513.08	-3527.92
3.733	14.5501	-3536.64	-3513.93	-3528.01
3.750	15.1503	-3533.61	-3514.72	-3527.02
3.767	15.3642	-3533.99	-3514.99	-3527.18
3.783	14.3187	-3534.71	-3514.83	-3528.35
3.800	13.9304	-3534.38	-3514.79	-3527.84
3.817	14.6634	-3534.16	-3515.38	-3527.31
3.833	14.5164	-3534.36	-3516.25	-3528.64
3.850	13.6959	-3533.87	-3516.06	-3528.03
3.867	13.9124	-3533.79	-3515.9	-3528.98
3.883	14.4608	-3534.12	-3515.97	-3526.83
3.900	14.557	-3535.47	-3516.34	-3527.85
3.917	14.9921	-3534.72	-3517.67	-3528.42
3.933	16.5404	-3534.12	-3518.78	-3528.48
3.950	16.9102	-3535.92	-3518.6	-3528.5
3.967	15.5886	-3537.08	-3518.5	-3528.04
3.983	15.0004	-3536.89	-3519.25	-3529.26
4.000	14.3444	-3537.58	-3519.36	-3527.89
4.017	15.3818	-3537.25	-3518.89	-3527.28
4.033	16.9781	-3537.88	-3518.11	-3528.24
4.050	16.91	-3537.73	-3518.16	-3527.33
4.067	16.9271	-3537.47	-3518.16	-3527.12
4.083	17.6737	-3536.94	-3518.26	-3527.7
4.100	18.5878	-3536.25	-3518.72	-3526.14
4.117	18.1519	-3536.76	-3517.86	-3526.84
4.133	16.7163	-3536.57	-3517.59	-3528.11
4.150	16.9655	-3536.84	-3517.67	-3527.92
4.167	17.5269	-3538.29	-3518.07	-3526.79
4.183	17.4204	-3538.07	-3518.42	-3526.88
4.200	17.7447	-3537.66	-3517.58	-3528.66
4.217	17.6546	-3537.9	-3517.76	-3529.54
4.233	17.5394	-3537.45	-3518.16	-3528.95
4.250	18.1022	-3536.49	-3517.58	-3526.92
4.267	18.2166	-3537.6	-3518.24	-3528.16
4.283	17.1154	-3537.82	-3518.68	-3529.13
4.300	16.7694	-3538.18	-3518.25	-3528.65
4.317	17.4079	-3538.1	-3518.99	-3528.97
4.333	17.5134	-3537.61	-3519.64	-3529.18
4.350	17.6209	-3536.91	-3519.73	-3529.63
4.367	17.5598	-3538.03	-3519.86	-3529.2
4.383	17.704	-3538.73	-3519.84	-3529.45
4.400	17.7762	-3536.78	-3520.02	-3526.64
4.417	17.3946	-3536.64	-3520.07	-3528.06
4.433	17.2949	-3536.51	-3519.17	-3528.25
4.450	17.5544	-3537.45	-3518.12	-3528.28
4.467	18.0338	-3537.89	-3517.86	-3528.76
4.483	18.9852	-3536.38	-3517.76	-3528.41
4.500	17.967	-3537.87	-3517.71	-3526.3
4.517	17.0411	-3537.46	-3517.22	-3526.36
4.533	17.4756	-3536.49	-3516.53	-3526.81
4.550	17.423	-3537.33	-3516.62	-3527.24
4.567	17.203	-3538.32	-3517.39	-3526.64
4.583	16.7986	-3537.15	-3517.97	-3526.48
4.600	16.1165	-3536.18	-3518.26	-3526.19
4.617	16.4577	-3535.74	-3518.0	-3527.1
4.633	15.8174	-3536.64	-3517.88	-3528.57
4.650	14.9233	-3536.89	-3517.93	-3527.01
4.667	15.5455	-3536.94	-3517.08	-3527.7
4.683	15.2568	-3535.9	-3516.74	-3527.59
4.700	14.7691	-3535.6	-3516.97	-3526.94
4.717	14.8049	-3536.22	-3516.76	-3525.37
4.733	14.5338	-3536.05	-3516.4	-3525.91
4.750	13.7033	-3536.1	-3516.57	-3526.92
4.767	13.4253	-3536.59	-3517.46	-3527.07
4.783	12.9727	-3537.38	-3517.9	-3527.26
4.800	12.2835	-3537.58	-3517.81	-3526.29
4.817	12.5845	-3537.37	-3518.9	-3526.41
4.833	12.6042	-3536.42	-3520.49	-3524.53
4.850	12.5121	-3536.42	-3521.3	-3525.74
4.867	13.0622	-3536.42	-3521.48	-3526.76
4.883	13.2433	-3537.45	-3521.1	-3528.28
4.900	13.7086	-3537.41	-3520.55	-3527.04
4.917	13.3388	-3536.34	-3519.88	-3526.61
4.933	12.6747	-3537.04	-3520.34	-3526.44
4.950	11.7483	-3537.13	-3520.45	-3525.17
4.967	11.9412	-3538.49	-3519.91	-3525.55
4.983	12.0484	-3537.81	-3520.71	-3525.74
5.000	10.7768	-3536.31	-3521.17	-3525.66
5.017	11.2659	-3535.25	-3520.59	-3524.12
5.033	11.0865	-3535.92	-3520.59	-3525.2
5.050	9.13078	-3535.05	-3520.62	-3523.94
5.067	9.42076	-3535.11	-3520.42	-3525.05
5.083	9.45697	-3534.32	-3520.75	-3525.78
5.100	9.93641	-3534.42	-3520.13	-3526.26
5.117	10.4352	-3536.22	-3519.71	-3524.74
5.133	10.3609	-3535.42	-3520.09	-3523.45
5.150	10.4063	-3536.08	-3520.91	-3523.85
5.167	9.60871	-3535.13	-3521.79	-3524.1
5.183	8.72539	-3535.93	-3521.92	-3523.53
5.200	8.04192	-3534.14	-3521.28	-3524.07
5.217	8.94076	-3534.32	-3520.45	-3523.72
5.233	9.40636	-3533.79	-3519.97	-3522.01
5.250	8.99395	-3534.05	-3520.28	-3521.67
5.267	8.61864	-3534.73	-3521.75	-3523.71
5.283	8.40619	-3534.29	-3521.87	-3523.43
5.300	8.51882	-3534.6	-3520.28	-3523.62
5.317	8.56868	-3534.78	-3518.72	-3523.06
5.333	7.78499	-3534.71	-3518.49	-3524.91
5.350	7.67879	-3534.13	-3519.17	-3525.16
5.367	7.62069	-3534.83	-3519.62	-3524.99
5.383	7.87003	-3534.73	-3519.53	-3524.79
5.400	8.15666	-3534.76	-3517.96	-3525.89
5.417	7.20972	-3535.17	-3517.41	-3526.38
5.433	7.03524	-3536.63	-3517.73	-3526.39
5.450	7.17293	-3535.42	-3517.29	-3525.31
5.467	6.31116	-3535.37	-3517.98	-3526.52
5.483	6.55147	-3536.29	-3519.09	-3526.87
5.500	6.35053	-3536.9	-3518.82	-3525.08
5.517	5.72923	-3535.77	-3517.11	-3526.17
5.533	5.09096	-3534.47	-3516.34	-3525.92
5.550	5.15943	-3534.24	-3517.55	-3527.07
5.567	4.71496	-3534.01	-3518.18	-3527.82
5.583	4.59499	-3536.0	-3518.68	-3526.8
5.600	5.421	-3537.38	-3518.89	-3526.47
5.617	5.43354	-3537.3	-3517.59	-3526.52
5.633	4.01507	-3536.75	-3517.29	-3526.93
5.650	4.0451	-3535.5	-3517.49	-3526.46
5.667	4.10152	-3534.86	-3517.51	-3525.68
5.683	4.89795	-3535.58	-3517.98	-3525.24
5.700	5.04946	-3535.57	-3518.16	-3525.9
5.717	4.52113	-3536.5	-3517.24	-3524.64
5.733	4.34339	-3538.33	-3515.33	-3525.27
5.750	2.75644	-3536.63	-3514.53	-3525.18
5.767	2.07973	-3537.2	-3515.06	-3526.07
5.783	2.24412	-3535.93	-3515.68	-3526.13
5.800	2.64727	-3536.76	-3515.76	-3526.53
5.817	1.90345	-3538.35	-3514.85	-3526.62
5.833	1.4195	-3537.56	-3514.77	-3526.41
5.850	1.14149	-3537.35	-3515.17	-3525.22
5.867	1.33075	-3536.63	-3515.07	-3525.01
5.883	1.12873	-3537.02	-3514.66	-3524.65
5.900	0.819173	-3536.76	-3514.18	-3524.49
5.917	0.954189	-3536.93	-3514.4	-3525.55
5.933	0.266394	-3538.27	-3515.22	-3526.04
5.950	-0.964761	-3537.84	-3515.37	-3526.28
5.967	-1.33762	-3537.09	-3516.09	-3525.64
5.983	-2.00953	-3537.76	-3516.94	-3523.71
6.000	-2.6603	-3537.25	-3517.1	-3524.76
6.017	-2.73022	-3536.07	-3516.21	-3526.1
6.033	-3.06033	-3536.45	-3515.93	-3525.04
6.050	-3.36178	-3536.18	-3516.33	-3525.57
6.067	-2.79583	-3537.01	-3515.42	-3526.65
6.083	-2.28503	-3537.53	-3514.9	-3525.67
6.100	-2.5736	-3537.56	-3515.51	-3526.09
6.117	-1.92558	-3536.09	-3516.3	-3525.13
6.133	-1.81043	-3537.95	-3517.01	-3526.62
6.150	-1.77874	-3536.79	-3517.31	-3525.5
6.167	-1.46958	-3535.32	-3516.79	-3525.42
6.183	-3.06345	-3536.1	-3515.8	-3527.04
6.200	-3.72675	-3536.69	-3515.32	-3527.04
6.217	-3.52335	-3535.93	-3516.0	-3527.06
6.233	-4.44364	-3535.02	-3516.44	-3526.73
6.250	-4.6664	-3535.84	-3516.55	-3526.57
6.267	-4.22254	-3534.46	-3516.95	-3526.24
6.283	-3.09364	-3533.87	-3517.57	-3526.1
6.300	-4.09694	-3534.41	-3519.05	-3526.54
6.317	-5.30734	-3533.21	-3518.95	-3524.93
6.333	-5.15821	-3533.34	-3517.78	-3525.69
6.350	-4.98525	-3533.78	-3517.52	-3525.57
6.367	-6.00957	-3532.71	-3518.32	-3526.9
6.383	-5.85117	-3532.96	-3518.25	-3526.14
6.400	-4.15916	-3533.84	-3517.93	-3526.61
6.417	-4.12709	-3534.24	-3517.46	-3528.03
6.433	-5.97893	-3532.63	-3517.54	-3527.23
6.450	-6.06206	-3532.53	-3518.29	-3526.36
6.467	-6.2572	-3533.11	-3519.0	-3526.82
6.483	-6.99574	-3532.02	-3519.69	-3525.66
6.500	-7.44876	-3533.32	-3519.14	-3526.76
6.517	-7.95138	-3533.54	-3519.0	-3526.39
6.533	-8.7403	-3533.27	-3518.17	-3526.53
6.550	-9.57226	-3531.66	-3517.43	-3526.36
6.567	-9.75025	-3532.41	-3518.31	-3528.39
6.583	-10.0801	-3533.75	-3518.25	-3528.11
6.600	-9.88501	-3532.81	-3518.1	-3525.82
6.617	-11.5654	-3531.57	-3517.88	-3526.8
6.633	-11.7232	-3531.1	-3516.89	-3526.61
6.650	-10.7777	-3532.62	-3516.62	-3527.32
6.667	-10.3546	-3533.05	-3517.08	-3528.43
6.683	-10.2082	-3532.5	-3516.37	-3526.97
6.700	-11.2897	-3532.99	-3515.68	-3528.05
6.717	-12.4642	-3533.54	-3515.79	-3527.71
