File Path	chrom://pc-9x9lfs2/ChromeleonLocal/Instrument Data/ICS-6000/Sequence/MD18-Full.seq/676.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	water
Injection Number	36
Position	BA1
Comment	
Processing Method	Processing
Instrument Method	Starches_Martens et al. 2018
Type	Unknown
Status	Finished
Injection Date	30-1-2020
Injection Time	20:57:56
Injection Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	70.000000
Data Points	8401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2.239250
Signal Max.	3.238400
Channel	ED_1
Driver Name	DC-6000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
59.641667	0.5	-1.895400
59.650000	0.5	-1.894950
59.658333	0.5	-1.896050
59.666667	0.5	-1.898000
59.675000	0.5	-1.895900
59.683333	0.5	-1.896600
59.691667	0.5	-1.898000
59.700000	0.5	-1.900100
59.708333	0.5	-1.900500
59.716667	0.5	-1.901250
59.725000	0.5	-1.902250
59.733333	0.5	-1.902600
59.741667	0.5	-1.901400
59.750000	0.5	-1.901200
59.758333	0.5	-1.900000
59.766667	0.5	-1.900350
59.775000	0.5	-1.900250
59.783333	0.5	-1.901750
59.791667	0.5	-1.902500
59.800000	0.5	-1.904250
59.808333	0.5	-1.903650
59.816667	0.5	-1.904200
59.825000	0.5	-1.905600
59.833333	0.5	-1.906450
59.841667	0.5	-1.908050
59.850000	0.5	-1.907850
59.858333	0.5	-1.910650
59.866667	0.5	-1.912450
59.875000	0.5	-1.912150
59.883333	0.5	-1.912300
59.891667	0.5	-1.911200
59.900000	0.5	-1.912550
59.908333	0.5	-1.914050
59.916667	0.5	-1.913300
