File Path	chrom://pc-9x9lfs2/ChromeleonLocal/Instrument Data/ICS-6000/Sequence/MD18-Full.seq/155.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	D-St9
Injection Number	6
Position	BA5
Comment	
Processing Method	Processing
Instrument Method	Starches_Martens et al. 2018
Type	Unknown
Status	Finished
Injection Date	29-1-2020
Injection Time	00:37:52
Injection Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	70.000000
Data Points	8401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1.513650
Signal Max.	362.192705
Channel	ED_1
Driver Name	DC-6000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
56.050000	0.5	-1.066300
56.058333	0.5	-1.067650
56.066667	0.5	-1.067450
56.075000	0.5	-1.068300
56.083333	0.5	-1.068350
56.091667	0.5	-1.067600
56.100000	0.5	-1.065850
56.108333	0.5	-1.068550
56.116667	0.5	-1.070550
56.125000	0.5	-1.069150
56.133333	0.5	-1.070600
56.141667	0.5	-1.072100
56.150000	0.5	-1.071150
56.158333	0.5	-1.069750
56.166667	0.5	-1.070350
56.175000	0.5	-1.068700
56.183333	0.5	-1.070950
56.191667	0.5	-1.071450
56.200000	0.5	-1.071950
56.208333	0.5	-1.071950
56.216667	0.5	-1.071500
56.225000	0.5	-1.072600
56.233333	0.5	-1.073350
56.241667	0.5	-1.073400
56.250000	0.5	-1.075700
56.258333	0.5	-1.076550
56.266667	0.5	-1.076900
56.275000	0.5	-1.077400
56.283333	0.5	-1.077850
56.291667	0.5	-1.077600
56.300000	0.5	-1.079250
56.308333	0.5	-1.080750
56.316667	0.5	-1.081450
56.325000	0.5	-1.079850
56.333333	0.5	-1.080750
56.341667	0.5	-1.082500
56.350000	0.5	-1.081000
56.358333	0.5	-1.080150
56.366667	0.5	-1.083500
56.375000	0.5	-1.083550
56.383333	0.5	-1.082950
56.391667	0.5	-1.083150
56.400000	0.5	-1.083600
56.408333	0.5	-1.086200
56.416667	0.5	-1.084050
56.425000	0.5	-1.081400
56.433333	0.5	-1.083050
56.441667	0.5	-1.081950
56.450000	0.5	-1.082950
56.458333	0.5	-1.084100
56.466667	0.5	-1.084050
56.475000	0.5	-1.085300
56.483333	0.5	-1.084300
