File Path	chrom://pc-9x9lfs2/ChromeleonLocal/Instrument Data/ICS-6000/Sequence/MD18-Full.seq/133.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	D-St8
Injection Number	35
Position	BA4
Comment	
Processing Method	Processing
Instrument Method	Starches_Martens et al. 2018
Type	Unknown
Status	Finished
Injection Date	30-1-2020
Injection Time	19:29:15
Injection Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	70.000000
Data Points	8401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2.500600
Signal Max.	973.672265
Channel	ED_1
Driver Name	DC-6000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	-0.010900
0.008333	0.5	-0.008550
0.016667	0.5	-0.008550
0.025000	0.5	-0.006550
0.033333	0.5	-0.006300
0.041667	0.5	-0.003900
0.050000	0.5	-0.001850
0.058333	0.5	-0.002900
0.066667	0.5	-0.003500
0.075000	0.5	-0.000850
0.083333	0.5	-0.001800
0.091667	0.5	-0.000850
0.100000	0.5	-0.001250
0.108333	0.5	-0.000350
0.116667	0.5	0.001050
0.125000	0.5	-0.001200
0.133333	0.5	0.000450
0.141667	0.5	-0.000350
0.150000	0.5	-0.002100
0.158333	0.5	-0.002900
0.166667	0.5	-0.003700
0.175000	0.5	-0.004100
0.183333	0.5	-0.003550
0.191667	0.5	-0.002850
0.200000	0.5	-0.003750
0.208333	0.5	-0.002650
0.216667	0.5	-0.003450
0.225000	0.5	-0.003800
0.233333	0.5	-0.002450
0.241667	0.5	0.000250
0.250000	0.5	-0.001450
0.258333	0.5	-0.002900
0.266667	0.5	-0.003000
0.275000	0.5	-0.001300
0.283333	0.5	-0.002750
0.291667	0.5	-0.003350
0.300000	0.5	-0.002050
0.308333	0.5	-0.000550
0.316667	0.5	0.001550
0.325000	0.5	0.001150
0.333333	0.5	0.001950
0.341667	0.5	0.002000
0.350000	0.5	-0.000350
0.358333	0.5	0.000650
0.366667	0.5	-0.000850
0.375000	0.5	0.000250
0.383333	0.5	-0.000050
0.391667	0.5	-0.001950
0.400000	0.5	-0.001450
0.408333	0.5	-0.004400
0.416667	0.5	-0.005800
0.425000	0.5	-0.006250
