File Path	chrom://pc-9x9lfs2/ChromeleonLocal/Instrument Data/ICS-6000/Sequence/MD18-Full.seq/264.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	D-St7
Injection Number	4
Position	BA3
Comment	
Processing Method	Processing
Instrument Method	Starches_Martens et al. 2018
Type	Unknown
Status	Finished
Injection Date	28-1-2020
Injection Time	21:40:31
Injection Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	70.000000
Data Points	8401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1.515700
Signal Max.	1.026.175915
Channel	ED_1
Driver Name	DC-6000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
1.258333	0.5	-0.010950
1.266667	0.5	-0.079750
1.275000	0.5	-0.449150
1.283333	0.5	-1.242050
1.291667	0.5	-1.480300
1.300000	0.5	-0.544550
1.308333	0.5	0.994900
1.316667	0.5	2.323600
1.325000	0.5	2.935200
1.333333	0.5	2.865150
1.341667	0.5	2.422600
1.350000	0.5	1.876350
1.358333	0.5	1.369550
1.366667	0.5	0.952100
1.375000	0.5	0.639650
1.383333	0.5	0.413100
1.391667	0.5	0.258300
1.400000	0.5	0.156950
1.408333	0.5	0.102850
1.416667	0.5	0.082600
1.425000	0.5	0.094150
1.433333	0.5	0.125750
1.441667	0.5	0.171400
1.450000	0.5	0.221600
1.458333	0.5	0.280150
1.466667	0.5	0.347650
1.475000	0.5	0.437250
1.483333	0.5	0.551800
1.491667	0.5	0.702050
1.500000	0.5	0.854100
1.508333	0.5	0.968500
1.516667	0.5	1.013400
1.525000	0.5	0.982150
1.533333	0.5	0.899500
1.541667	0.5	0.789000
1.550000	0.5	0.684000
1.558333	0.5	0.591200
1.566667	0.5	0.516700
1.575000	0.5	0.452050
1.583333	0.5	0.389950
1.591667	0.5	0.334550
1.600000	0.5	0.282850
1.608333	0.5	0.237600
1.616667	0.5	0.202550
1.625000	0.5	0.175450
1.633333	0.5	0.159500
1.641667	0.5	0.150850
1.650000	0.5	0.154150
1.658333	0.5	0.170350
1.666667	0.5	0.201150
1.675000	0.5	0.242800
1.683333	0.5	0.296000
1.691667	0.5	0.346300
1.700000	0.5	0.385050
1.708333	0.5	0.403950
1.716667	0.5	0.409300
1.725000	0.5	0.401950
1.733333	0.5	0.384750
1.741667	0.5	0.364850
1.750000	0.5	0.341800
1.758333	0.5	0.323550
1.766667	0.5	0.303000
1.775000	0.5	0.291100
1.783333	0.5	0.282050
1.791667	0.5	0.282450
1.800000	0.5	0.299100
1.808333	0.5	0.335250
1.816667	0.5	0.398400
1.825000	0.5	0.501750
1.833333	0.5	0.665700
1.841667	0.5	0.914950
1.850000	0.5	1.236750
1.858333	0.5	1.578800
1.866667	0.5	1.861950
1.875000	0.5	2.003350
1.883333	0.5	1.981400
1.891667	0.5	1.819800
1.900000	0.5	1.572850
1.908333	0.5	1.302850
1.916667	0.5	1.051500
1.925000	0.5	0.840400
1.933333	0.5	0.679300
1.941667	0.5	0.556000
1.950000	0.5	0.465300
1.958333	0.5	0.395750
1.966667	0.5	0.342450
1.975000	0.5	0.305650
1.983333	0.5	0.277650
1.991667	0.5	0.258350
2.000000	0.5	0.247850
2.008333	0.5	0.245750
2.016667	0.5	0.246050
2.025000	0.5	0.249400
2.033333	0.5	0.252100
2.041667	0.5	0.248000
2.050000	0.5	0.241050
2.058333	0.5	0.229000
2.066667	0.5	0.214650
2.075000	0.5	0.200800
2.083333	0.5	0.186650
2.091667	0.5	0.175600
2.100000	0.5	0.166250
2.108333	0.5	0.161500
2.116667	0.5	0.161800
2.125000	0.5	0.166550
2.133333	0.5	0.173900
2.141667	0.5	0.181600
2.150000	0.5	0.191000
2.158333	0.5	0.193650
2.166667	0.5	0.195800
2.175000	0.5	0.190350
2.183333	0.5	0.181850
2.191667	0.5	0.182900
2.200000	0.5	0.222650
2.208333	0.5	0.420500
2.216667	0.5	1.150700
2.225000	0.5	3.566700
2.233333	0.5	10.685650
2.241667	0.5	29.340450
2.250000	0.5	72.321551
2.258333	0.5	156.840352
2.266667	0.5	300.510404
2.275000	0.5	491.897407
2.283333	0.5	688.072260
2.291667	0.5	845.433013
2.300000	0.5	952.459814
2.308333	0.5	1011.911315
2.316667	0.5	1026.175915
2.325000	0.5	999.364015
2.333333	0.5	933.816864
2.341667	0.5	831.699112
2.350000	0.5	697.278210
2.358333	0.5	544.718408
2.366667	0.5	398.057256
2.375000	0.5	275.793454
2.383333	0.5	184.844203
2.391667	0.5	121.408052
2.400000	0.5	78.994351
2.408333	0.5	51.573351
2.416667	0.5	34.056801
2.425000	0.5	23.365400
2.433333	0.5	16.438700
2.441667	0.5	11.994500
2.450000	0.5	9.120150
2.458333	0.5	7.248950
2.466667	0.5	6.003150
2.475000	0.5	5.168400
2.483333	0.5	4.582450
2.491667	0.5	4.126550
2.500000	0.5	3.726100
2.508333	0.5	3.350300
2.516667	0.5	2.976250
2.525000	0.5	2.616600
2.533333	0.5	2.276750
2.541667	0.5	1.976500
2.550000	0.5	1.720600
2.558333	0.5	1.511450
2.566667	0.5	1.348950
2.575000	0.5	1.228400
2.583333	0.5	1.143900
2.591667	0.5	1.092100
2.600000	0.5	1.070250
2.608333	0.5	1.077000
2.616667	0.5	1.111700
2.625000	0.5	1.163550
2.633333	0.5	1.226050
2.641667	0.5	1.287000
2.650000	0.5	1.336850
2.658333	0.5	1.364500
2.666667	0.5	1.368700
2.675000	0.5	1.347700
2.683333	0.5	1.310500
2.691667	0.5	1.263850
2.700000	0.5	1.215700
2.708333	0.5	1.171850
2.716667	0.5	1.130650
2.725000	0.5	1.092000
2.733333	0.5	1.056750
2.741667	0.5	1.026250
2.750000	0.5	0.993700
2.758333	0.5	0.963400
2.766667	0.5	0.929200
2.775000	0.5	0.897550
2.783333	0.5	0.865100
2.791667	0.5	0.831100
2.800000	0.5	0.795650
2.808333	0.5	0.765700
2.816667	0.5	0.739300
2.825000	0.5	0.712800
2.833333	0.5	0.689150
2.841667	0.5	0.670500
2.850000	0.5	0.651750
2.858333	0.5	0.637000
2.866667	0.5	0.623550
2.875000	0.5	0.614350
2.883333	0.5	0.613750
2.891667	0.5	0.629100
2.900000	0.5	0.671100
2.908333	0.5	0.758500
2.916667	0.5	0.908000
2.925000	0.5	1.146250
2.933333	0.5	1.497800
2.941667	0.5	1.988850
2.950000	0.5	2.617850
2.958333	0.5	3.352050
2.966667	0.5	4.106250
2.975000	0.5	4.749350
2.983333	0.5	5.114200
2.991667	0.5	5.112250
3.000000	0.5	4.783250
3.008333	0.5	4.229250
3.016667	0.5	3.599850
3.025000	0.5	2.996550
3.033333	0.5	2.491600
3.041667	0.5	2.088000
3.050000	0.5	1.780300
3.058333	0.5	1.548450
3.066667	0.5	1.362550
3.075000	0.5	1.203100
3.083333	0.5	1.053100
3.091667	0.5	0.910250
3.100000	0.5	0.784150
3.108333	0.5	0.674500
3.116667	0.5	0.591750
3.125000	0.5	0.526750
3.133333	0.5	0.479700
3.141667	0.5	0.449950
3.150000	0.5	0.433850
3.158333	0.5	0.426200
3.166667	0.5	0.428300
3.175000	0.5	0.442450
3.183333	0.5	0.467750
3.191667	0.5	0.502750
3.200000	0.5	0.553400
3.208333	0.5	0.616500
3.216667	0.5	0.692000
3.225000	0.5	0.775300
3.233333	0.5	0.866150
3.241667	0.5	0.944050
3.250000	0.5	1.014350
3.258333	0.5	1.068350
3.266667	0.5	1.101400
3.275000	0.5	1.104300
3.283333	0.5	1.084050
3.291667	0.5	1.043350
3.300000	0.5	0.981250
3.308333	0.5	0.906000
3.316667	0.5	0.820700
3.325000	0.5	0.739700
3.333333	0.5	0.660200
3.341667	0.5	0.587450
3.350000	0.5	0.526500
3.358333	0.5	0.474000
3.366667	0.5	0.436350
3.375000	0.5	0.405250
3.383333	0.5	0.381800
3.391667	0.5	0.366100
3.400000	0.5	0.354800
3.408333	0.5	0.347750
3.416667	0.5	0.348250
3.425000	0.5	0.350950
3.433333	0.5	0.355000
3.441667	0.5	0.362400
3.450000	0.5	0.372200
3.458333	0.5	0.381050
3.466667	0.5	0.388800
3.475000	0.5	0.399250
3.483333	0.5	0.405450
3.491667	0.5	0.412000
3.500000	0.5	0.410550
3.508333	0.5	0.405800
3.516667	0.5	0.401900
3.525000	0.5	0.392850
3.533333	0.5	0.384850
3.541667	0.5	0.371550
3.550000	0.5	0.364800
3.558333	0.5	0.352200
3.566667	0.5	0.343550
3.575000	0.5	0.333900
3.583333	0.5	0.325250
3.591667	0.5	0.317500
3.600000	0.5	0.310450
3.608333	0.5	0.304750
3.616667	0.5	0.300750
3.625000	0.5	0.295700
3.633333	0.5	0.291150
3.641667	0.5	0.283500
3.650000	0.5	0.277950
3.658333	0.5	0.276350
3.666667	0.5	0.273800
3.675000	0.5	0.268850
3.683333	0.5	0.264400
3.691667	0.5	0.263500
3.700000	0.5	0.261800
3.708333	0.5	0.259750
3.716667	0.5	0.258300
3.725000	0.5	0.256500
3.733333	0.5	0.258050
3.741667	0.5	0.256750
3.750000	0.5	0.255750
3.758333	0.5	0.252250
3.766667	0.5	0.251550
