Samples	water	D-St6	D-St7	D-St8	D-St9
0.000	-0.0116	-0.01235	-0.0098	-0.0109	-0.0128
0.008	-0.00905	-0.00725	-0.00875	-0.00855	-0.00905
0.017	-0.0081	-0.0054	-0.0079	-0.00855	-0.00505
0.025	-0.0064	-0.0055	-0.0065	-0.00655	-0.0054
0.033	-0.0066	-0.0047	-0.00525	-0.0063	-0.00385
0.042	-0.0049	-0.00515	-0.00525	-0.0039	-0.0035
0.050	-0.0053	-0.0045	-0.0052	-0.00185	-0.00045
0.058	-0.0031	-0.0034	-0.00535	-0.0029	-0.00295
0.067	-0.0029	-0.0033	-0.00495	-0.0035	-0.00385
0.075	-0.0033	-0.0025	-0.00385	-0.00085	-0.00285
0.083	-0.00435	-0.0027	-0.00455	-0.0018	-0.00445
0.092	-0.0043	-0.0009	-0.00485	-0.00085	-0.00205
0.100	-0.00215	-0.00145	-0.0047	-0.00125	-0.00315
0.108	-0.0025	-0.0031	-0.00535	-0.00035	-0.0015
0.117	-0.0027	-0.0011	-0.0053	0.00105	-0.00055
0.125	-0.0003	-0.0026	-0.0033	-0.0012	0.00065
0.133	0.0001	-0.0031	-0.0042	0.00045	0.003
0.142	0.0011	-0.0025	-0.00375	-0.00035	-0.00025
0.150	0.0007	-5e-05	-0.0036	-0.0021	-0.0003
0.158	0.0021	-0.0001	-0.0009	-0.0029	-0.0004
0.167	0.0009	0.0015	-0.0044	-0.0037	0.00035
0.175	0.00055	0.00115	-0.0047	-0.0041	0.00235
0.183	0.0007	0.00175	-0.0051	-0.00355	0.00125
0.192	0.0002	0.0004	-0.00605	-0.00285	0.0003
0.200	0.0013	0.0001	-0.00545	-0.00375	0.00105
0.208	0.00035	-0.0002	-0.0051	-0.00265	-0.0024
0.217	-0.00125	0.0019	-0.00405	-0.00345	-0.0021
0.225	-0.00215	0.00125	-0.0019	-0.0038	-0.00025
0.233	-0.00385	-5e-05	-0.00365	-0.00245	-0.00085
0.242	-0.00535	0.0008	-0.00135	0.00025	-0.00305
0.250	-0.0024	-0.00185	-0.0008	-0.00145	-0.0014
0.258	-0.0031	-5e-05	-0.0027	-0.0029	0.0005
0.267	-0.0041	0.0012	-0.0024	-0.003	-5e-05
0.275	-0.0047	-0.0012	-0.0013	-0.0013	-0.00215
0.283	-0.004	-0.00105	-0.00355	-0.00275	-0.00265
0.292	-0.0036	-0.00065	-0.00165	-0.00335	-0.0005
0.300	-0.0029	-0.00125	-0.0028	-0.00205	0.0025
0.308	-0.0018	0.0001	-0.00235	-0.00055	0.0008
0.317	-0.00235	-0.00045	-0.0047	0.00155	0.0009
0.325	-0.00115	-0.00325	-0.00335	0.00115	-0.00125
0.333	-0.00515	-0.00105	-0.0065	0.00195	-0.00205
0.342	-0.0047	0.00045	-0.00655	0.002	-0.00155
0.350	-0.0046	-0.0006	-0.0081	-0.00035	-0.002
0.358	-0.0051	-0.0037	-0.00515	0.00065	0.0013
0.367	-0.0044	-0.00255	-0.00585	-0.00085	-0.00035
0.375	-0.00445	-0.0032	-0.0049	0.00025	0.0023
0.383	-0.00115	-0.00175	-0.00495	-5e-05	0.00195
0.392	-0.0019	-0.0031	-0.00535	-0.00195	0.00365
0.400	-0.00025	-0.00155	-0.00495	-0.00145	0.0044
0.408	0.00025	-0.00095	-0.00375	-0.0044	0.0032
0.417	-0.00085	0.0009	-0.0036	-0.0058	0.0018
0.425	-0.0015	0.0012	-0.00375	-0.00625	0.00105
0.433	-0.00185	-0.0003	-0.0063	-0.0046	0.00235
0.442	-0.00065	0.00135	-0.0066	-0.00265	0.00255
0.450	-0.0005	0.0002	-0.00525	-0.00405	0.00065
0.458	-0.002	-0.0007	-0.00715	-0.0051	0.0013
0.467	-0.0012	-0.00095	-0.00495	-0.00535	0.00025
0.475	-0.00275	-0.00085	-0.0036	-0.0046	-0.0019
0.483	-0.00305	-0.00035	-0.0034	-0.0044	-0.0019
0.492	-0.00285	-0.00195	-0.00215	-0.00405	-0.0022
0.500	-0.00315	-0.00265	-0.00295	-0.0026	0.00145
0.508	-0.0043	-0.00105	-0.00475	-0.0047	0.0001
0.517	-0.0052	-0.0007	-0.00335	-0.00575	0.0006
0.525	-0.00475	-0.00105	-0.0032	-0.0055	-0.0029
0.533	-0.0051	-0.0023	-0.0023	-0.004	-0.0002
0.542	-0.00495	-0.0009	-0.00475	-0.0052	0.0001
0.550	-0.0047	-0.00095	-0.0023	-0.0045	0.0009
0.558	-0.00505	-0.00235	-0.00315	-0.00285	0.0027
0.567	-0.00435	-0.00295	-0.00465	-0.0018	0.00075
0.575	-0.004	0.0	-0.00265	-0.0024	-0.0003
0.583	-0.0045	-0.00235	-0.00605	-0.00045	0.0003
0.592	-0.00495	-0.00155	-0.0057	-0.00125	0.00145
0.600	-0.0047	-0.0001	-0.00665	-0.00215	0.0008
0.608	-0.0046	-0.0006	-0.00435	-0.00425	-5e-05
0.617	-0.0046	-0.00305	-0.0051	-0.003	5e-05
0.625	-0.0047	-0.0024	-0.0054	-0.0027	0.00455
0.633	-0.003	-0.0026	-0.0059	-0.0022	0.0025
0.642	-0.00215	-0.0022	-0.00535	-0.00255	0.0035
0.650	-0.00245	-0.00315	-0.0035	-0.00415	0.00335
0.658	-0.0025	-0.00315	-0.0032	-0.00515	0.0035
0.667	-0.0017	-0.00025	-0.0018	-0.00565	0.00435
0.675	-0.0005	-0.00015	-0.0037	-0.0048	0.00225
0.683	-0.00175	0.00135	-0.0059	-0.00675	0.0017
0.692	-0.00185	0.00085	-0.0051	-0.0056	0.00235
0.700	-0.00295	0.00205	-0.0067	-0.00485	0.00235
0.708	-0.00205	0.00095	-0.0056	-0.0052	0.00205
0.717	-0.0023	0.00055	-0.0059	-0.0068	0.00015
0.725	-0.00435	-0.00095	-0.0052	-0.006	0.00055
0.733	-0.00305	0.00135	-0.0043	-0.006	0.001
0.742	-0.00495	-0.00125	-0.0044	-0.005	0.00045
0.750	-0.00715	-0.0007	-0.00375	-0.00355	0.0008
0.758	-0.00645	-0.0011	-0.00295	-0.0042	0.00075
0.767	-0.00565	-0.0008	-0.00375	-0.00585	0.0012
0.775	-0.00565	0.00095	-0.00415	-0.00875	0.00075
0.783	-0.0065	-0.0006	-0.00325	-0.007	0.00185
0.792	-0.00505	0.0013	-0.0048	-0.00555	0.0013
0.800	-0.00465	-0.0002	-0.00225	-0.0067	0.00175
0.808	-0.00515	0.00065	-0.00285	-0.0045	0.00155
0.817	-0.0053	-0.00085	-0.0031	-0.00205	0.0025
0.825	-0.0042	-0.00165	-0.00375	-0.0032	0.00315
0.833	-0.00075	-0.0022	-0.00355	-0.003	0.0004
0.842	-0.0022	-0.00045	-0.0034	-0.0023	0.00125
0.850	-0.00455	0.0006	-0.0038	-0.0008	-0.0007
0.858	-0.0055	0.0017	-0.00425	-0.00235	0.0006
0.867	-0.0048	-0.0009	-0.0043	-0.0033	0.00205
0.875	-0.00435	-0.00335	-0.0049	-0.00205	0.0032
0.883	-0.00435	-0.0024	-0.00545	-0.0026	0.00285
0.892	-0.0026	-0.0015	-0.00495	-0.0018	0.00355
0.900	-0.0016	-0.0011	-0.0054	-0.00355	0.0041
0.908	-0.00125	-0.00315	-0.0061	-0.0026	0.005
0.917	5e-05	-0.00115	-0.0048	-0.00405	0.00405
0.925	0.0009	-0.00045	-0.00225	-0.00725	0.0022
0.933	-0.0009	0.00025	-0.00545	-0.00585	0.00535
0.942	0.00035	0.00015	-0.00605	-0.0052	0.0053
0.950	-0.00175	0.00125	-0.0057	-0.00645	0.0058
0.958	-0.00155	0.0	-0.0055	-0.00745	0.00425
0.967	-0.00075	-0.00145	-0.00655	-0.00605	0.0044
0.975	-0.0011	-0.0007	-0.00805	-0.00685	0.00255
0.983	-0.0013	-0.00105	-0.005	-0.00455	-0.0008
0.992	-0.00155	-0.0021	-0.003	-0.00605	0.00075
1.000	-0.0008	-0.0023	-0.00415	-0.0056	-0.0002
1.008	-0.00305	-0.00185	-0.0032	-0.00435	-0.00095
1.017	-0.00225	-0.00245	-0.0023	-0.00245	0.0002
1.025	-0.0043	-0.002	-0.0009	-0.00635	-0.00135
1.033	-0.00455	-0.002	-0.00255	-0.00565	0.001
1.042	-0.0026	-0.00075	-0.0035	-0.00655	0.00105
1.050	-0.00425	-0.00135	-0.0032	-0.00675	5e-05
1.058	-0.0044	-0.0018	-0.0041	-0.0061	0.00025
1.067	-0.00415	-0.00125	-0.00115	-0.00455	0.0021
1.075	-0.00285	-0.00375	-0.00455	-0.0038	0.00295
1.083	-0.0015	-0.0032	-0.0041	-0.00345	-0.0006
1.092	-0.0015	-0.00155	-0.0047	-0.0019	0.00155
1.100	-0.00295	-0.0023	-0.0038	-0.001	-0.00075
1.108	-0.00375	-0.00215	-0.0059	-0.0014	0.0003
1.117	-0.00485	-0.0011	-0.00445	-0.0021	-0.00035
1.125	-0.00375	-0.00355	-0.00685	-0.0029	-0.0003
1.133	-0.0037	-0.0033	-0.0049	-0.00365	0.003
1.142	-0.00395	-0.004	-0.0062	-0.0021	0.00285
1.150	-0.00175	-0.004	-0.00545	-0.00415	0.00285
1.158	-0.0013	-0.0034	-0.00575	-0.0046	0.00425
1.167	0.00065	-0.0042	-0.0066	-0.0043	0.00385
1.175	0.0007	-0.0011	-0.0051	-0.00655	0.0038
1.183	0.0012	-0.00195	-0.003	-0.004	0.0036
1.192	0.0002	-0.00335	-0.00475	-0.00545	0.00295
1.200	-0.0004	-0.00065	-0.00425	-0.0057	0.00375
1.208	-0.00075	-0.0015	-0.00675	-0.0069	0.00305
1.217	-0.001	-0.00115	-0.0057	-0.0059	0.003
1.225	-0.0016	-0.0023	-0.00535	-0.00475	0.00135
1.233	-0.00035	-0.0024	-0.00645	-0.0063	0.00185
1.242	-0.00015	-0.00095	-0.0048	-0.0079	0.0022
1.250	-0.00195	-0.0029	-0.00405	-0.00795	0.0008
1.258	-0.01195	-0.004	-0.01095	-0.01405	-0.0045
1.267	-0.06965	-0.04585	-0.07975	-0.07665	-0.0517
1.275	-0.388	-0.29125	-0.44915	-0.4271	-0.33635
1.283	-1.15765	-1.00715	-1.24205	-1.2095	-1.0847
1.292	-1.4782	-1.5302	-1.4803	-1.468	-1.51365
1.300	-0.58735	-0.91775	-0.54455	-0.53225	-0.78745
1.308	1.01175	0.5244	0.9949	1.0873	0.69885
1.317	2.46645	1.9749	2.3236	2.5191	2.1192
1.325	3.2237	2.8197	2.9352	3.2415	2.8871
1.333	3.2384	2.9305	2.86515	3.2366	2.93225
1.342	2.8155	2.57495	2.4226	2.807	2.53595
1.350	2.23185	2.0451	1.87635	2.22075	1.9934
1.358	1.6578	1.5155	1.36955	1.66125	1.4724
1.367	1.19175	1.0791	0.9521	1.19355	1.0384
1.375	0.8221	0.72975	0.63965	0.8274	0.7039
1.383	0.55365	0.4739	0.4131	0.5588	0.4619
1.392	0.36755	0.29855	0.2583	0.37335	0.29895
1.400	0.24115	0.18255	0.15695	0.25075	0.19925
1.408	0.1653	0.11465	0.10285	0.179	0.16565
1.417	0.12255	0.07945	0.0826	0.14445	0.19705
1.425	0.1067	0.0771	0.09415	0.1464	0.2941
1.433	0.111	0.10065	0.12575	0.17635	0.43665
1.442	0.1284	0.154	0.1714	0.22855	0.59535
1.450	0.1629	0.23555	0.2216	0.30665	0.73155
1.458	0.21435	0.3487	0.28015	0.4086	0.83375
1.467	0.304	0.49615	0.34765	0.5377	0.9117
1.475	0.49	0.68175	0.43725	0.7075	1.0032
1.483	0.82665	0.928	0.5518	0.93825	1.1553
1.492	1.3271	1.2334	0.70205	1.23065	1.3826
1.500	1.9071	1.5599	0.8541	1.53805	1.65525
1.508	2.4148	1.833	0.9685	1.7754	1.8829
1.517	2.71675	1.97395	1.0134	1.88495	1.98835
1.525	2.74565	1.9577	0.98215	1.85435	1.94325
1.533	2.534	1.81375	0.8995	1.7144	1.7723
1.542	2.17995	1.5948	0.789	1.5273	1.537
1.550	1.7805	1.37075	0.684	1.3455	1.29215
1.558	1.4044	1.168	0.5912	1.1841	1.0717
1.567	1.08835	1.0023	0.5167	1.04335	0.88835
1.575	0.8393	0.8677	0.45205	0.9139	0.73875
1.583	0.64815	0.75645	0.38995	0.78905	0.6134
1.592	0.5036	0.65715	0.33455	0.6701	0.50405
1.600	0.39585	0.569	0.28285	0.55415	0.41175
1.608	0.3149	0.49285	0.2376	0.45445	0.3382
1.617	0.25835	0.43025	0.20255	0.3704	0.27795
1.625	0.2187	0.38025	0.17545	0.3053	0.2319
1.633	0.192	0.341	0.1595	0.25895	0.19855
1.642	0.17535	0.3212	0.15085	0.23	0.18085
1.650	0.1613	0.32135	0.15415	0.21985	0.17465
1.658	0.15615	0.3489	0.17035	0.2253	0.1762
1.667	0.1501	0.4065	0.20115	0.246	0.1903
1.675	0.14985	0.4918	0.2428	0.28175	0.2121
1.683	0.1511	0.5996	0.296	0.32625	0.24045
1.692	0.15445	0.714	0.3463	0.3735	0.26825
1.700	0.15365	0.8086	0.38505	0.41415	0.29145
1.708	0.1534	0.867	0.40395	0.4457	0.3158
1.717	0.156	0.8836	0.4093	0.46005	0.3315
1.725	0.1627	0.86185	0.40195	0.45965	0.34785
1.733	0.1744	0.8156	0.38475	0.45135	0.35945
1.742	0.1918	0.75405	0.36485	0.4332	0.37265
1.750	0.20405	0.69165	0.3418	0.41255	0.38635
1.758	0.21495	0.63175	0.32355	0.3907	0.397
1.767	0.2152	0.57795	0.303	0.37225	0.41235
1.775	0.205	0.5361	0.2911	0.35695	0.4276
1.783	0.1911	0.5067	0.28205	0.3459	0.44515
1.792	0.17365	0.49915	0.28245	0.33965	0.46465
1.800	0.15555	0.521	0.2991	0.34875	0.4892
1.808	0.14635	0.59065	0.33525	0.3759	0.5217
1.817	0.1485	0.7221	0.3984	0.43205	0.57925
1.825	0.1845	0.9593	0.50175	0.5355	0.6815
1.833	0.2793	1.3711	0.6657	0.71965	0.8737
1.842	0.4659	2.03315	0.91495	1.0176	1.1926
1.850	0.74575	2.9602	1.23675	1.4262	1.6347
1.858	1.0933	4.03275	1.5788	1.88695	2.13125
1.867	1.4151	5.00705	1.86195	2.28865	2.57685
1.875	1.63885	5.62185	2.00335	2.5342	2.8521
1.883	1.7194	5.7459	1.9814	2.5657	2.9121
1.892	1.6524	5.3925	1.8198	2.4012	2.76815
1.900	1.47545	4.7216	1.57285	2.1093	2.49655
1.908	1.2399	3.9289	1.30285	1.76165	2.16705
1.917	0.9986	3.1452	1.0515	1.427	1.8433
1.925	0.77945	2.4742	0.8404	1.1357	1.5678
1.933	0.60065	1.93685	0.6793	0.90745	1.34795
1.942	0.4651	1.53425	0.556	0.73685	1.1821
1.950	0.36545	1.2363	0.4653	0.60845	1.06265
1.958	0.29485	1.01685	0.39575	0.51845	0.9788
1.967	0.24645	0.85705	0.34245	0.45155	0.9206
1.975	0.2112	0.7371	0.30565	0.4013	0.88035
1.983	0.18955	0.6463	0.27765	0.3652	0.85105
1.992	0.17135	0.58325	0.25835	0.3395	0.8327
2.000	0.15945	0.54195	0.24785	0.32295	0.8197
2.008	0.1527	0.5226	0.24575	0.31765	0.8123
2.017	0.1452	0.51645	0.24605	0.31215	0.80775
2.025	0.1422	0.51955	0.2494	0.3127	0.8027
2.033	0.1397	0.52375	0.2521	0.3138	0.79365
2.042	0.13685	0.52215	0.248	0.3086	0.78675
2.050	0.1322	0.51115	0.24105	0.2959	0.778
2.058	0.1258	0.491	0.229	0.2843	0.7688
2.067	0.119	0.4619	0.21465	0.2688	0.75415
2.075	0.11075	0.42865	0.2008	0.2537	0.7426
2.083	0.10425	0.39585	0.18665	0.2395	0.7315
2.092	0.0993	0.36835	0.1756	0.2265	0.7228
2.100	0.1005	0.3458	0.16625	0.2189	0.7146
2.108	0.10365	0.3333	0.1615	0.21445	0.70675
2.117	0.1081	0.33005	0.1618	0.21595	0.70435
2.125	0.1154	0.33285	0.16655	0.22475	0.7037
2.133	0.1246	0.35	0.1739	0.2361	0.7082
2.142	0.13415	0.3734	0.1816	0.2565	0.7122
2.150	0.1424	0.3924	0.191	0.2739	0.71745
2.158	0.1487	0.4111	0.19365	0.28835	0.72095
2.167	0.15065	0.4176	0.1958	0.2957	0.71835
2.175	0.1523	0.4116	0.19035	0.29075	0.71255
2.183	0.15205	0.3973	0.18185	0.2822	0.70135
2.192	0.146	0.3839	0.1829	0.26795	0.6884
2.200	0.1364	0.4244	0.22265	0.27245	0.67775
2.208	0.1255	0.6604	0.4205	0.3552	0.68715
2.217	0.1123	1.64635	1.1507	0.71945	0.7656
2.225	0.10235	5.14805	3.5667	2.00355	1.07535
2.233	0.09405	16.20005	10.68565	5.99455	2.047
2.242	0.08835	47.187451	29.34045	17.046	4.73205
2.250	0.087	121.695102	72.321551	44.053701	11.25825
2.258	0.08965	171.278503	156.840352	101.010802	25.21575
2.267	0.10025	530.161758	300.510404	168.967753	51.327101
2.275	0.11935	809.847262	491.897407	362.288055	93.491551
2.283	0.14675	1042.508516	688.07226	549.049158	151.877702
2.292	0.1839	1220.838118	845.433013	723.035661	220.684053
2.300	0.2258	1350.35867	952.459814	853.770913	287.015754
2.308	0.26315	1426.918671	1011.911315	936.723564	337.369655
2.317	0.2851	1447.830172	1026.175915	973.672265	362.192705
2.325	0.2886	1421.402121	999.364015	966.748014	358.576405
2.333	0.27535	1358.26352	933.816864	917.924364	329.121455
2.342	0.24845	1266.834119	831.699112	831.185412	281.103104
2.350	0.21095	1149.248767	697.27821	710.878811	224.388953
2.358	0.1752	1001.320665	544.718408	568.547958	168.236653
2.367	0.14455	820.937562	398.057256	424.174206	119.786602
2.375	0.12145	623.241059	275.793454	298.467004	81.942251
2.383	0.0999	440.531857	184.844203	201.224953	54.381351
2.392	0.0899	298.157504	121.408052	131.882652	35.271501
2.400	0.082	196.953953	78.994351	85.407301	22.89845
2.408	0.0792	129.799752	51.573351	55.244451	14.9031
2.417	0.0787	86.421951	34.056801	35.919651	9.86495
2.425	0.07665	58.606551	23.3654	24.1858	6.7125
2.433	0.08165	40.685401	16.4387	16.6186	4.7542
2.442	0.0857	29.6913	11.9945	11.84645	3.5191
2.450	0.0963	22.31525	9.12015	8.80005	2.7342
2.458	0.11395	17.4449	7.24895	6.83255	2.23615
2.467	0.14095	14.19595	6.00315	5.5556	1.9167
2.475	0.17455	12.00785	5.1684	4.7104	1.7132
2.483	0.21155	10.4864	4.58245	4.129	1.57915
2.492	0.248	9.3505	4.12655	3.7031	1.4783
2.500	0.2778	8.41925	3.7261	3.3598	1.3892
2.508	0.2904	7.5835	3.3503	3.0418	1.29995
2.517	0.28845	6.77085	2.97625	2.7253	1.2031
2.525	0.2689	5.9847	2.6166	2.4087	1.1017
2.533	0.239	5.23305	2.27675	2.10265	1.0001
2.542	0.2048	4.54675	1.9765	1.82035	0.90305
2.550	0.16695	3.9509	1.7206	1.57395	0.8223
2.558	0.13625	3.45225	1.51145	1.36735	0.75205
2.567	0.11055	3.0541	1.34895	1.20305	0.69765
2.575	0.094	2.743	1.2284	1.08045	0.65355
2.583	0.078	2.5098	1.1439	0.98905	0.6252
2.592	0.06905	2.3465	1.0921	0.93285	0.6055
2.600	0.0639	2.2461	1.07025	0.9022	0.5942
2.608	0.06165	2.2051	1.077	0.90365	0.59665
2.617	0.0625	2.21875	1.1117	0.93445	0.603
2.625	0.06595	2.27665	1.16355	0.98955	0.61655
2.633	0.0673	2.36805	1.22605	1.0658	0.6383
2.642	0.0718	2.47	1.287	1.14815	0.6609
2.650	0.0766	2.56355	1.33685	1.2331	0.6829
2.658	0.08225	2.61715	1.3645	1.3063	0.7
2.667	0.0876	2.6305	1.3687	1.36205	0.7139
2.675	0.0933	2.5987	1.3477	1.40365	0.7192
2.683	0.10075	2.52585	1.3105	1.4247	0.717
2.692	0.1086	2.4277	1.26385	1.4362	0.7087
2.700	0.11395	2.3222	1.2157	1.4378	0.7007
2.708	0.1201	2.2216	1.17185	1.43185	0.69145
2.717	0.1254	2.13215	1.13065	1.4205	0.6795
2.725	0.128	2.0594	1.092	1.40525	0.6687
2.733	0.1292	1.99585	1.05675	1.3833	0.6563
2.742	0.1276	1.93985	1.02625	1.35635	0.64515
2.750	0.12725	1.8887	0.9937	1.32045	0.63125
2.758	0.12475	1.83705	0.9634	1.281	0.6154
2.767	0.12165	1.78405	0.9292	1.2378	0.59975
2.775	0.1151	1.7302	0.89755	1.19285	0.5826
2.783	0.11205	1.66985	0.8651	1.1487	0.5649
2.792	0.10835	1.61115	0.8311	1.10275	0.55015
2.800	0.107	1.54995	0.79565	1.05735	0.5351
2.808	0.1047	1.48885	0.7657	1.0187	0.5195
2.817	0.1006	1.43185	0.7393	0.97555	0.5027
2.825	0.0994	1.3798	0.7128	0.9393	0.49005
2.833	0.0954	1.3349	0.68915	0.90725	0.47715
2.842	0.09365	1.2945	0.6705	0.877	0.4661
2.850	0.09115	1.25605	0.65175	0.8492	0.4534
2.858	0.08875	1.2237	0.637	0.8266	0.44235
2.867	0.08505	1.1972	0.62355	0.80865	0.4364
2.875	0.0837	1.1811	0.61435	0.7942	0.42525
2.883	0.0859	1.1832	0.61375	0.7848	0.419
2.892	0.081	1.2143	0.6291	0.78965	0.4162
2.900	0.07735	1.2948	0.6711	0.817	0.4199
2.908	0.07525	1.4626	0.7585	0.8763	0.43575
2.917	0.0755	1.76445	0.908	0.99005	0.4646
2.925	0.0741	2.2639	1.14625	1.18445	0.521
2.933	0.0721	3.04885	1.4978	1.48185	0.60085
2.942	0.0751	4.181	1.98885	1.90395	0.71275
2.950	0.07565	5.709	2.61785	2.45385	0.85805
2.958	0.0755	7.5754	3.35205	3.1172	1.02595
2.967	0.07595	9.56925	4.10625	3.84365	1.2063
2.975	0.0741	11.29285	4.74935	4.52575	1.37115
2.983	0.0731	12.2801	5.1142	5.0239	1.49075
2.992	0.06845	12.2713	5.11225	5.21015	1.5417
3.000	0.0648	11.33465	4.78325	5.05	1.5067
3.008	0.06485	9.80475	4.22925	4.6121	1.40185
3.017	0.0637	8.1047	3.59985	4.02895	1.2586
3.025	0.06565	6.53455	2.99655	3.4201	1.10265
3.033	0.06825	5.24975	2.4916	2.8673	0.9624
3.042	0.068	4.26935	2.088	2.4078	0.844
3.050	0.06965	3.5556	1.7803	2.0517	0.74485
3.058	0.0715	3.04795	1.54845	1.7815	0.6674
3.067	0.07005	2.671	1.36255	1.5684	0.6065
3.075	0.0693	2.3744	1.2031	1.39	0.55075
3.083	0.06635	2.1097	1.0531	1.23325	0.50015
3.092	0.06175	1.8578	0.91025	1.08415	0.4528
3.100	0.0558	1.62125	0.78415	0.9487	0.41015
3.108	0.0544	1.41295	0.6745	0.8248	0.3729
3.117	0.05275	1.24155	0.59175	0.7254	0.344
3.125	0.0532	1.10335	0.52675	0.64925	0.32045
3.133	0.0507	1.0059	0.4797	0.5883	0.30135
3.142	0.05175	0.94005	0.44995	0.5485	0.287
3.150	0.04935	0.8989	0.43385	0.5231	0.2781
3.158	0.04675	0.8846	0.4262	0.5052	0.2712
3.167	0.04975	0.89065	0.4283	0.4996	0.2673
3.175	0.04605	0.9145	0.44245	0.5011	0.267
3.183	0.04525	0.9652	0.46775	0.5134	0.2689
3.192	0.04725	1.03925	0.50275	0.5359	0.2743
3.200	0.0466	1.1463	0.5534	0.5689	0.2815
3.208	0.04935	1.27755	0.6165	0.6124	0.2923
3.217	0.04515	1.43665	0.692	0.66855	0.30565
3.225	0.0467	1.6161	0.7753	0.73495	0.32125
3.233	0.0485	1.80185	0.86615	0.80615	0.33805
3.242	0.04675	1.98445	0.94405	0.8794	0.35725
3.250	0.0456	2.1454	1.01435	0.9472	0.3768
3.258	0.04605	2.2731	1.06835	1.0076	0.392
3.267	0.04345	2.3559	1.1014	1.0527	0.4025
3.275	0.0438	2.38135	1.1043	1.074	0.40785
3.283	0.04465	2.3543	1.08405	1.0713	0.4063
3.292	0.04275	2.27555	1.04335	1.04795	0.3983
3.300	0.0425	2.1528	0.98125	1.0058	0.385
3.308	0.0413	1.99695	0.906	0.94805	0.3684
3.317	0.0423	1.8211	0.8207	0.8783	0.3493
3.325	0.03975	1.64245	0.7397	0.80255	0.3285
3.333	0.03955	1.46655	0.6602	0.7252	0.3051
3.342	0.0379	1.30485	0.58745	0.6519	0.28735
3.350	0.0369	1.16245	0.5265	0.5913	0.2673
3.358	0.0362	1.04485	0.474	0.5346	0.25175
3.367	0.0383	0.9486	0.43635	0.4878	0.241
3.375	0.0368	0.871	0.40525	0.45425	0.23245
3.383	0.0347	0.8163	0.3818	0.42645	0.2221
3.392	0.03605	0.7765	0.3661	0.40715	0.2151
3.400	0.0366	0.7515	0.3548	0.3926	0.20965
3.408	0.03465	0.73525	0.34775	0.38175	0.20665
3.417	0.0358	0.73425	0.34825	0.3761	0.2051
3.425	0.0342	0.7342	0.35095	0.37405	0.2024
3.433	0.0347	0.7397	0.355	0.3756	0.20155
3.442	0.03345	0.75265	0.3624	0.37915	0.20575
3.450	0.0336	0.767	0.3722	0.3848	0.2034
3.458	0.0363	0.78405	0.38105	0.3903	0.20875
3.467	0.03575	0.8031	0.3888	0.39675	0.2095
3.475	0.03505	0.8207	0.39925	0.4026	0.21065
3.483	0.03765	0.8374	0.40545	0.4082	0.2121
3.492	0.03635	0.84845	0.412	0.40965	0.2129
3.500	0.0375	0.8548	0.41055	0.412	0.21325
3.508	0.03575	0.8574	0.4058	0.41425	0.21415
3.517	0.03725	0.8492	0.4019	0.41205	0.21305
3.525	0.0376	0.83825	0.39285	0.4061	0.21
3.533	0.03745	0.8219	0.38485	0.3982	0.20625
3.542	0.03785	0.80275	0.37155	0.3917	0.2022
3.550	0.0355	0.77975	0.3648	0.3829	0.19935
3.558	0.03465	0.75815	0.3522	0.3743	0.19635
3.567	0.033	0.7366	0.34355	0.3635	0.1914
3.575	0.03075	0.7162	0.3339	0.3563	0.1879
3.583	0.02905	0.6965	0.32525	0.3449	0.1844
3.592	0.02715	0.6803	0.3175	0.3334	0.17765
3.600	0.02615	0.666	0.31045	0.32615	0.17475
3.608	0.0251	0.652	0.30475	0.31915	0.17125
3.617	0.02365	0.63905	0.30075	0.31185	0.16935
3.625	0.0223	0.63025	0.2957	0.30455	0.16615
3.633	0.0225	0.6176	0.29115	0.30065	0.163
3.642	0.02125	0.60675	0.2835	0.2961	0.16095
3.650	0.0249	0.6002	0.27795	0.29135	0.1565
3.658	0.0226	0.59125	0.27635	0.287	0.15435
3.667	0.0213	0.5861	0.2738	0.28215	0.15165
3.675	0.02015	0.57885	0.26885	0.2779	0.1512
3.683	0.01885	0.57015	0.2644	0.27495	0.1481
3.692	0.01895	0.5623	0.2635	0.27115	0.14785
3.700	0.0187	0.5574	0.2618	0.2694	0.14765
3.708	0.02125	0.5544	0.25975	0.26635	0.1446
3.717	0.023	0.54845	0.2583	0.26525	0.1431
3.725	0.0236	0.5437	0.2565	0.26305	0.14355
3.733	0.02115	0.54395	0.25805	0.25995	0.1418
3.742	0.02195	0.5412	0.25675	0.2591	0.1395
3.750	0.02245	0.53975	0.25575	0.257	0.1391
3.758	0.01945	0.54005	0.25225	0.25325	0.13785
3.767	0.02035	0.5393	0.25155	0.25135	0.1385
3.775	0.01785	0.54025	0.2505	0.2525	0.1367
3.783	0.01695	0.54105	0.24765	0.2497	0.13495
3.792	0.01695	0.5446	0.25035	0.24725	0.13275
3.800	0.0146	0.54905	0.2479	0.248	0.1313
3.808	0.0128	0.55335	0.24885	0.2458	0.1317
3.817	0.0125	0.5583	0.2499	0.24685	0.1301
3.825	0.01295	0.5582	0.25015	0.2451	0.1292
3.833	0.0128	0.5615	0.25215	0.2463	0.1279
3.842	0.01075	0.56075	0.25425	0.24395	0.12725
3.850	0.01015	0.56195	0.2522	0.2442	0.12715
3.858	0.00965	0.56125	0.25345	0.2431	0.1289
