Samples	water	D-St6	D-St7	D-St8	D-St9
24.867	-0.88565	-0.2183	-0.4339	-0.89785	-0.52925
24.875	-0.88675	-0.2229	-0.43655	-0.8958	-0.53045
24.883	-0.88675	-0.23165	-0.4396	-0.8997	-0.53115
24.892	-0.8876	-0.2379	-0.4448	-0.90115	-0.52885
24.900	-0.88735	-0.24625	-0.4516	-0.9009	-0.53335
24.908	-0.8887	-0.2561	-0.45655	-0.9053	-0.5342
24.917	-0.8907	-0.26835	-0.46285	-0.90885	-0.5387
24.925	-0.8921	-0.28165	-0.46935	-0.9128	-0.5391
24.933	-0.89275	-0.29285	-0.47525	-0.9207	-0.541
24.942	-0.8942	-0.30915	-0.48145	-0.9254	-0.54195
24.950	-0.8933	-0.32425	-0.48735	-0.93215	-0.54245
24.958	-0.8962	-0.33835	-0.4928	-0.93705	-0.54265
24.967	-0.8945	-0.3513	-0.49935	-0.9424	-0.545
24.975	-0.89335	-0.3633	-0.50555	-0.94945	-0.54665
24.983	-0.8948	-0.37655	-0.51355	-0.95485	-0.54745
24.992	-0.8935	-0.38635	-0.51395	-0.9625	-0.5501
25.000	-0.89385	-0.3973	-0.51815	-0.96695	-0.5519
25.008	-0.8953	-0.4062	-0.5241	-0.9727	-0.55395
25.017	-0.89545	-0.41415	-0.5277	-0.9776	-0.55665
25.025	-0.89605	-0.4233	-0.5326	-0.98335	-0.55565
25.033	-0.89835	-0.4325	-0.53455	-0.98535	-0.5584
25.042	-0.89745	-0.43515	-0.53815	-0.98715	-0.5603
25.050	-0.8984	-0.44285	-0.5404	-0.98915	-0.56135
25.058	-0.89905	-0.4477	-0.5402	-0.993	-0.56205
25.067	-0.89965	-0.4519	-0.54185	-0.99715	-0.56355
25.075	-0.89885	-0.4556	-0.54115	-0.99705	-0.56345
25.083	-0.8994	-0.4576	-0.54225	-0.99725	-0.5659
25.092	-0.9002	-0.46	-0.5409	-0.9988	-0.5664
25.100	-0.9004	-0.4604	-0.54045	-1.0021	-0.5637
25.108	-0.89875	-0.463	-0.5424	-1.00285	-0.5641
25.117	-0.9003	-0.46255	-0.5436	-1.0051	-0.56565
